,,,,,,,,,,,,,Cyclically,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,Adjusted,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,Total,
,,,,,,,,,,,,Price,Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,CAPE,
1877.02,3.34,0.28,0.28,10.66,1877.13,4.44,80.39,6.78,120.29,6.82,10.20,NA,NA,
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,79.87,6.87,120.36,7.18,10.82,NA,NA,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,72.05,6.45,109.39,7.03,10.67,NA,NA,
1877.05,2.94,0.25,0.29,10.66,1877.38,4.41,70.77,6.12,108.21,6.94,10.61,NA,NA,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,69.43,6.23,106.97,7.38,11.36,NA,NA,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,71.81,5.94,111.39,7.35,11.40,NA,NA,
1877.08,3.05,0.23,0.29,9.80,1877.63,4.39,79.83,5.93,124.60,7.68,11.98,NA,NA,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,85.63,5.75,134.41,7.80,12.24,NA,NA,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,87.48,5.51,138.03,7.84,12.37,NA,NA,
1877.11,3.26,0.20,0.30,9.51,1877.88,4.36,87.89,5.37,139.37,8.04,12.75,NA,NA,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,87.62,5.12,139.62,8.09,12.89,NA,NA,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,90.33,5.26,144.64,8.36,13.39,NA,NA,
1878.02,3.18,0.19,0.30,9.13,1878.13,4.33,89.30,5.29,143.70,8.47,13.63,NA,NA,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,92.92,5.38,150.25,8.68,14.03,NA,NA,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,96.53,5.41,156.81,8.79,14.28,NA,NA,
1878.05,3.34,0.19,0.30,8.56,1878.38,4.30,100.05,5.57,163.28,9.11,14.87,NA,NA,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,104.46,5.67,171.26,9.34,15.32,NA,NA,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,105.41,5.58,173.57,9.26,15.25,NA,NA,
1878.08,3.45,0.18,0.31,8.56,1878.63,4.27,103.34,5.49,170.92,9.19,15.19,NA,NA,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,105.44,5.47,175.14,9.21,15.30,NA,NA,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,105.41,5.50,175.86,9.34,15.58,NA,NA,
1878.11,3.47,0.18,0.31,8.37,1878.88,4.24,106.30,5.54,178.11,9.47,15.87,NA,NA,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,108.15,5.64,181.99,9.72,16.35,NA,NA,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,110.93,5.63,187.47,9.79,16.54,NA,NA,
1879.02,3.71,0.18,0.32,8.37,1879.13,4.20,113.65,5.62,192.86,9.86,16.72,NA,NA,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,113.10,5.73,192.73,10.15,17.29,NA,NA,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,118.18,5.85,202.22,10.45,17.88,NA,NA,
1879.05,3.94,0.19,0.34,8.18,1879.38,4.15,123.51,5.90,212.18,10.63,18.27,NA,NA,
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,125.60,6.03,216.62,10.94,18.87,NA,NA,
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,126.64,6.01,219.30,11.00,19.04,NA,NA,
1879.08,4.07,0.19,0.36,8.18,1879.63,4.10,127.58,6.06,221.80,11.18,19.44,NA,NA,
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,127.83,5.91,223.08,10.98,19.16,NA,NA,
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,134.22,5.64,235.05,10.56,18.50,NA,NA,
1879.11,4.93,0.20,0.37,9.42,1879.88,4.05,134.25,5.40,235.89,10.19,17.90,NA,NA,
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,130.04,5.29,229.26,10.04,17.71,NA,NA,
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,131.20,5.26,232.09,9.99,17.68,NA,NA,
